City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ushuaia,AR,35.26,scattered clouds,-54.8,-68.3,Albatross Hotel
1,Kaitangata,NZ,45.19,moderate rain,-46.2817,169.8464,Kaitangata Motor Camp
2,Mehamn,NO,55.31,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
3,Mataura,NZ,46.47,light rain,-46.1927,168.8643,Ellie's Villa
4,Butaritari,KI,82.62,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
5,Bambous Virieux,MU,67.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
6,Kalat,PK,66.9,overcast clouds,29.0225,66.5916,PHE Rest House
7,Flinders,AU,65.37,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
8,Cape Town,ZA,58.37,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
9,Yellowknife,CA,72.12,scattered clouds,62.456,-114.3525,The Explorer Hotel
10,Tuktoyaktuk,CA,60.8,broken clouds,69.4541,-133.0374,End of The Road Ltd.
11,Faya,SA,63.12,light rain,18.3851,42.4509,املاك خالد الشعشوع
12,Yuncheng,CN,80.08,scattered clouds,35.0231,110.9928,晋州快捷酒店
13,Virginia Beach,US,88.02,broken clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
14,Kiunga,PG,78.69,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
15,Punta Arenas,CL,32.11,few clouds,-53.15,-70.9167,Hotel Hain
17,Kapaa,US,84.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Tutoia,BR,79.21,overcast clouds,-2.7619,-42.2744,Pousada Guará's
19,North Bend,US,82.24,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
20,Muisne,EC,73.24,overcast clouds,0.6,-80.0333,Quinta Samay
21,Rawson,AR,45.18,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
22,Mizdah,LY,72.77,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
23,Bredasdorp,ZA,46.78,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
24,Anaconda,US,81.59,overcast clouds,46.1285,-112.9423,Trade Wind Motel
25,Rikitea,PF,75.61,broken clouds,-23.1203,-134.9692,People ThankYou
26,Wembley,AU,57.09,light rain,-31.9333,115.8,Cambridge Atrium
27,Cabo San Lucas,MX,94.3,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
29,Avarua,CK,71.65,scattered clouds,-21.2078,-159.775,Paradise Inn
30,Pevek,RU,38.41,overcast clouds,69.7008,170.3133,Severnoye Zoloto
31,New Norfolk,AU,56.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
