City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Ushuaia,-54.8,-68.3,35.26,69,40,23.02,AR,scattered clouds
1,Kaitangata,-46.2817,169.8464,45.19,92,100,17.38,NZ,moderate rain
2,Mehamn,71.0357,27.8492,55.31,94,100,0.0,NO,overcast clouds
3,Mataura,-46.1927,168.8643,46.47,96,100,11.07,NZ,light rain
4,Butaritari,3.0707,172.7902,82.62,69,98,15.66,KI,overcast clouds
5,Bambous Virieux,-20.3428,57.7575,67.21,88,40,4.61,MU,scattered clouds
6,Kalat,29.0225,66.5916,66.9,83,100,7.4,PK,overcast clouds
7,Flinders,-34.5833,150.8552,65.37,80,50,5.01,AU,scattered clouds
8,Cape Town,-33.9258,18.4232,58.37,69,0,5.01,ZA,clear sky
9,Yellowknife,62.456,-114.3525,72.12,37,40,14.97,CA,scattered clouds
10,Tuktoyaktuk,69.4541,-133.0374,60.8,67,75,19.57,CA,broken clouds
11,Faya,18.3851,42.4509,63.12,54,100,7.09,SA,light rain
12,Yuncheng,35.0231,110.9928,80.08,73,36,5.88,CN,scattered clouds
13,Virginia Beach,36.8529,-75.978,88.02,74,75,16.11,US,broken clouds
14,Kiunga,-6.1219,141.2906,78.69,91,65,5.77,PG,broken clouds
15,Punta Arenas,-53.15,-70.9167,32.11,69,20,12.66,CL,few clouds
16,Provideniya,64.3833,-173.3,48.36,66,100,20.13,RU,overcast clouds
17,Kapaa,22.0752,-159.319,84.18,67,100,16.11,US,overcast clouds
18,Tutoia,-2.7619,-42.2744,79.21,78,100,7.47,BR,overcast clouds
19,North Bend,43.4065,-124.2243,82.24,84,75,13.8,US,broken clouds
20,Muisne,0.6,-80.0333,73.24,85,100,10.87,EC,overcast clouds
21,Rawson,-43.3002,-65.1023,45.18,94,100,7.18,AR,overcast clouds
22,Mizdah,31.4451,12.9801,72.77,34,0,4.16,LY,clear sky
23,Bredasdorp,-34.5322,20.0403,46.78,65,0,4.72,ZA,clear sky
24,Anaconda,46.1285,-112.9423,81.59,29,98,6.51,US,overcast clouds
25,Rikitea,-23.1203,-134.9692,75.61,74,73,12.68,PF,broken clouds
26,Wembley,-31.9333,115.8,57.09,59,75,12.66,AU,light rain
27,Cabo San Lucas,22.8909,-109.9124,94.3,67,11,10.0,MX,few clouds
28,Dikson,73.5069,80.5464,44.15,92,100,23.58,RU,overcast clouds
29,Avarua,-21.2078,-159.775,71.65,64,40,5.75,CK,scattered clouds
30,Pevek,69.7008,170.3133,38.41,74,91,14.81,RU,overcast clouds
31,New Norfolk,-42.7826,147.0587,56.91,84,97,1.01,AU,overcast clouds
32,Puerto Ayora,-0.7393,-90.3518,69.55,94,99,5.99,EC,overcast clouds
33,Vaini,-21.2,-175.2,78.96,83,40,10.36,TO,scattered clouds
34,Pinas,-3.6667,-79.65,66.27,98,100,0.76,EC,light rain
35,Qaanaaq,77.484,-69.3632,42.55,66,0,0.6,GL,clear sky
36,Marsaxlokk,35.8419,14.5431,83.08,74,0,4.61,MT,clear sky
37,Sitka,57.0531,-135.33,57.09,94,100,0.0,US,mist
38,Banamba,13.55,-7.45,77.18,77,57,6.13,ML,broken clouds
39,Lavrentiya,65.5833,-171.0,41.52,83,100,17.92,RU,overcast clouds
40,Leningradskiy,69.3833,178.4167,34.66,89,98,5.75,RU,overcast clouds
41,Barrow,71.2906,-156.7887,37.42,87,100,26.46,US,mist
42,Strezhevoy,60.7333,77.5889,60.55,86,100,5.3,RU,overcast clouds
43,Ponta Do Sol,32.6667,-17.1,88.43,44,98,5.91,PT,overcast clouds
44,Berlevag,70.8578,29.0864,55.35,82,100,8.05,NO,overcast clouds
45,Mar Del Plata,-38.0023,-57.5575,55.09,95,100,16.11,AR,overcast clouds
46,Tiznit,29.5833,-9.5,89.58,18,13,1.92,MA,few clouds
47,Port Alfred,-33.5906,26.891,53.19,81,0,1.01,ZA,clear sky
48,Lagoa,39.05,-27.9833,73.33,90,0,9.69,PT,clear sky
49,Albany,42.6001,-73.9662,74.35,63,0,1.01,US,clear sky
50,Yakeshi,49.2833,120.7333,74.28,71,95,14.14,CN,heavy intensity rain
51,Benjamin Constant,-4.3831,-70.0311,75.33,97,57,1.7,BR,broken clouds
52,Ouadda,8.0777,22.4007,67.59,97,72,2.3,CF,light rain
53,Wagar,16.1525,36.2032,83.55,53,80,12.35,SD,broken clouds
54,Los Llanos De Aridane,28.6585,-17.9182,71.35,78,0,16.11,ES,clear sky
55,Kodiak,57.79,-152.4072,62.11,59,100,3.44,US,overcast clouds
56,Hasaki,35.7333,140.8333,79.2,83,100,19.37,JP,overcast clouds
57,Atuona,-9.8,-139.0333,77.77,66,0,10.36,PF,clear sky
58,Muros,42.7762,-9.0603,64.83,80,4,8.08,ES,clear sky
59,Aljezur,37.3191,-8.8033,66.4,78,0,11.27,PT,clear sky
60,Cap-Aux-Meules,47.3821,-61.8597,73.45,73,75,11.5,CA,light rain
61,Agucadoura,41.4318,-8.7804,70.25,88,0,6.64,PT,clear sky
62,Shirgaon,19.7,72.7,80.33,82,100,11.21,IN,overcast clouds
63,Mahebourg,-20.4081,57.7,67.24,88,40,4.61,MU,scattered clouds
64,Arraial Do Cabo,-22.9661,-42.0278,70.65,88,6,19.48,BR,clear sky
65,Saint George,37.1041,-113.5841,72.19,83,100,5.75,US,moderate rain
66,Labuhan,-6.8844,112.2051,76.57,71,84,7.36,ID,broken clouds
67,Luderitz,-26.6481,15.1594,55.17,84,35,11.81,NA,scattered clouds
